Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Chennai,80 runs,20/03/2011,ODI # 3141,India,West Indies,India,1
Dhaka,10 wickets,23/03/2011,ODI # 3142,Pakistan,West Indies,Pakistan,1
Ahmedabad,5 wickets,24/03/2011,ODI # 3143,India,Australia,India,1
Dhaka,49 runs,25/03/2011,ODI # 3144,New Zealand,South Africa,New Zealand,1
Colombo (RPS),10 wickets,26/03/2011,ODI # 3145,Sri Lanka,England,Sri Lanka,1
Colombo (RPS),5 wickets,29/03/2011,ODI # 3146,Sri Lanka,New Zealand,Sri Lanka,1
Mohali,29 runs,30/03/2011,ODI # 3147,India,Pakistan,India,1
Mumbai,6 wickets,02/04/2011,ODI # 3148,India,Sri Lanka,India,1
Christchurch,98 runs,14/02/2015,ODI # 3599,New Zealand,Sri Lanka,New Zealand,1
Melbourne,111 runs,14/02/2015,ODI # 3600,Australia,England,Australia,1
Hamilton,62 runs,15/02/2015,ODI # 3601,South Africa,Zimbabwe,South Africa,1
Adelaide,76 runs,15/02/2015,ODI # 3602,India,Pakistan,India,1
Nelson,4 wickets,16/02/2015,ODI # 3603,Ireland,West Indies,Ireland,1
Dunedin,3 wickets,17/02/2015,ODI # 3604,New Zealand,Scotland,New Zealand,1
Canberra,105 runs,18/02/2015,ODI # 3605,Afghanistan,Bangladesh,Bangladesh,1
Nelson,4 wickets,19/02/2015,ODI # 3606,U.A.E.,Zimbabwe,Zimbabwe,1
Wellington,8 wickets,20/02/2015,ODI # 3607,New Zealand,England,New Zealand,1
Christchurch,150 runs,21/02/2015,ODI # 3608,Pakistan,West Indies,West Indies,1
Brisbane,,21/02/2015,ODI # 3608a,Australia,Bangladesh,abandoned,1
Dunedin,4 wickets,22/02/2015,ODI # 3609,Afghanistan,Sri Lanka,Sri Lanka,1
Melbourne,130 runs,22/02/2015,ODI # 3610,India,South Africa,India,1
Christchurch,119 runs,23/02/2015,ODI # 3611,England,Scotland,England,1
Canberra,73 runs,24/02/2015,ODI # 3612,West Indies,Zimbabwe,West Indies,1
Brisbane,2 wickets,25/02/2015,ODI # 3613,Ireland,U.A.E.,Ireland,1
Dunedin,1 wicket,26/02/2015,ODI # 3614,Afghanistan,Scotland,Afghanistan,1
Melbourne,92 runs,26/02/2015,ODI # 3615,Bangladesh,Sri Lanka,Sri Lanka,1
Sydney,257 runs,27/02/2015,ODI # 3616,South Africa,West Indies,South Africa,1
Auckland,1 wicket,28/02/2015,ODI # 3617,New Zealand,Australia,New Zealand,1
Perth,9 wickets,28/02/2015,ODI # 3618,India,U.A.E.,India,1
Wellington,9 wickets,01/03/2015,ODI # 3619,England,Sri Lanka,Sri Lanka,1
Brisbane,20 runs,01/03/2015,ODI # 3620,Pakistan,Zimbabwe,Pakistan,1
Canberra,201 runs,03/03/2015,ODI # 3621,Ireland,South Africa,South Africa,1
Napier,129 runs,04/03/2015,ODI # 3622,Pakistan,U.A.E.,Pakistan,1
Perth,275 runs,04/03/2015,ODI # 3623,Australia,Afghanistan,Australia,1
Nelson,6 wickets,05/03/2015,ODI # 3624,Bangladesh,Scotland,Bangladesh,1
Perth,4 wickets,06/03/2015,ODI # 3625,India,West Indies,India,1
Auckland,29 runs,07/03/2015,ODI # 3626,Pakistan,South Africa,Pakistan,1
Hobart,5 runs,07/03/2015,ODI # 3627,Ireland,Zimbabwe,Ireland,1
Napier,6 wickets,08/03/2015,ODI # 3628,New Zealand,Afghanistan,New Zealand,1
Sydney,64 runs,08/03/2015,ODI # 3629,Australia,Sri Lanka,Australia,1
Adelaide,15 runs,09/03/2015,ODI # 3630,Bangladesh,England,Bangladesh,1
Hamilton,8 wickets,10/03/2015,ODI # 3631,India,Ireland,India,1
Hobart,148 runs,11/03/2015,ODI # 3632,Scotland,Sri Lanka,Sri Lanka,1
Wellington,146 runs,12/03/2015,ODI # 3633,South Africa,U.A.E.,South Africa,1
Hamilton,3 wickets,13/03/2015,ODI # 3634,New Zealand,Bangladesh,New Zealand,1
Sydney,9 wickets,13/03/2015,ODI # 3635,Afghanistan,England,England,1
Auckland,6 wickets,14/03/2015,ODI # 3636,India,Zimbabwe,India,1
Hobart,7 wickets,14/03/2015,ODI # 3637,Australia,Scotland,Australia,1
Napier,6 wickets,15/03/2015,ODI # 3638,U.A.E.,West Indies,West Indies,1
Adelaide,7 wickets,15/03/2015,ODI # 3639,Ireland,Pakistan,Pakistan,1
Sydney,9 wickets,18/03/2015,ODI # 3640,South Africa,Sri Lanka,South Africa,1
Melbourne,109 runs,19/03/2015,ODI # 3641,Bangladesh,India,India,1
Adelaide,6 wickets,20/03/2015,ODI # 3642,Australia,Pakistan,Australia,1
Wellington,143 runs,21/03/2015,ODI # 3643,New Zealand,West Indies,New Zealand,1
Auckland,4 wickets,24/03/2015,ODI # 3644,New Zealand,South Africa,New Zealand,1
Sydney,95 runs,26/03/2015,ODI # 3645,Australia,India,Australia,1
Melbourne,7 wickets,29/03/2015,ODI # 3646,Australia,New Zealand,Australia,1
The Oval,104 runs,30/05/2019,ODI # 4143,England,South Africa,England,1
Nottingham,7 wickets,31/05/2019,ODI # 4144,Pakistan,West Indies,West Indies,1
Cardiff,10 wickets,01/06/2019,ODI # 4145,New Zealand,Sri Lanka,New Zealand,1
Bristol,7 wickets,01/06/2019,ODI # 4146,Afghanistan,Australia,Australia,1
The Oval,21 runs,02/06/2019,ODI # 4147,Bangladesh,South Africa,Bangladesh,1
Nottingham,14 runs,03/06/2019,ODI # 4148,England,Pakistan,Pakistan,1
Cardiff,34 runs,04/06/2019,ODI # 4149,Afghanistan,Sri Lanka,Sri Lanka,1
Southampton,6 wickets,05/06/2019,ODI # 4150,India,South Africa,India,1
The Oval,2 wickets,05/06/2019,ODI # 4151,Bangladesh,New Zealand,New Zealand,1
Nottingham,15 runs,06/06/2019,ODI # 4152,Australia,West Indies,Australia,1
Bristol,,07/06/2019,ODI # 4152a,Pakistan,Sri Lanka,abandoned,1
Cardiff,106 runs,08/06/2019,ODI # 4153,England,Bangladesh,England,1
Taunton,7 wickets,08/06/2019,ODI # 4154,Afghanistan,New Zealand,New Zealand,1
The Oval,36 runs,09/06/2019,ODI # 4155,Australia,India,India,1
Southampton,,10/06/2019,ODI # 4156,South Africa,West Indies,no result,1
Bristol,,11/06/2019,ODI # 4156a,Bangladesh,Sri Lanka,abandoned,1
Taunton,41 runs,12/06/2019,ODI # 4157,Australia,Pakistan,Australia,1
Nottingham,,13/06/2019,ODI # 4157a,India,New Zealand,abandoned,1
Southampton,8 wickets,14/06/2019,ODI # 4158,England,West Indies,England,1
The Oval,87 runs,15/06/2019,ODI # 4159,Australia,Sri Lanka,Australia,1
Cardiff,9 wickets,15/06/2019,ODI # 4160,Afghanistan,South Africa,South Africa,1
Manchester,89 runs,16/06/2019,ODI # 4161,India,Pakistan,India,1
Taunton,7 wickets,17/06/2019,ODI # 4162,Bangladesh,West Indies,Bangladesh,1
Manchester,150 runs,18/06/2019,ODI # 4163,England,Afghanistan,England,1
Birmingham,4 wickets,19/06/2019,ODI # 4165,New Zealand,South Africa,New Zealand,1
Nottingham,48 runs,20/06/2019,ODI # 4166,Australia,Bangladesh,Australia,1
Leeds,20 runs,21/06/2019,ODI # 4168,England,Sri Lanka,Sri Lanka,1
Southampton,11 runs,22/06/2019,ODI # 4169,Afghanistan,India,India,1
Manchester,5 runs,22/06/2019,ODI # 4170,New Zealand,West Indies,New Zealand,1
Lord's,49 runs,23/06/2019,ODI # 4171,Pakistan,South Africa,Pakistan,1
Southampton,62 runs,24/06/2019,ODI # 4172,Afghanistan,Bangladesh,Bangladesh,1
Lord's,64 runs,25/06/2019,ODI # 4173,England,Australia,Australia,1
Birmingham,6 wickets,26/06/2019,ODI # 4174,New Zealand,Pakistan,Pakistan,1
Manchester,125 runs,27/06/2019,ODI # 4175,India,West Indies,India,1
Chester-le-Street,9 wickets,28/06/2019,ODI # 4176,South Africa,Sri Lanka,South Africa,1
Leeds,3 wickets,29/06/2019,ODI # 4177,Afghanistan,Pakistan,Pakistan,1
Lord's,86 runs,29/06/2019,ODI # 4178,Australia,New Zealand,Australia,1
Birmingham,31 runs,30/06/2019,ODI # 4179,England,India,England,1
Chester-le-Street,23 runs,01/07/2019,ODI # 4180,Sri Lanka,West Indies,Sri Lanka,1
Birmingham,28 runs,02/07/2019,ODI # 4182,Bangladesh,India,India,1
Chester-le-Street,119 runs,03/07/2019,ODI # 4183,England,New Zealand,England,1
Leeds,23 runs,04/07/2019,ODI # 4184,Afghanistan,West Indies,West Indies,1
Lord's,94 runs,05/07/2019,ODI # 4186,Bangladesh,Pakistan,Pakistan,1
Leeds,7 wickets,06/07/2019,ODI # 4187,India,Sri Lanka,India,1
Manchester,10 runs,06/07/2019,ODI # 4188,Australia,South Africa,South Africa,1
Manchester,18 runs,,ODI # 4190,India,New Zealand,New Zealand,1
Birmingham,8 wickets,11/07/2019,ODI # 4191,England,Australia,England,1
Lord's,,14/07/2019,ODI # 4192,England,New Zealand,tied,1
