Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Wellington,5 wickets,10/03/1992,ODI # 737,India,West Indies,West Indies,1
Canberra,7 wickets,10/03/1992,ODI # 738,South Africa,Zimbabwe,South Africa,1
Perth,48 runs,11/03/1992,ODI # 739,Australia,Pakistan,Pakistan,1
Dunedin,4 wickets,12/03/1992,ODI # 740,New Zealand,India,New Zealand,1
Melbourne,3 wickets,12/03/1992,ODI # 741,England,South Africa,England,1
Berri,91 runs,13/03/1992,ODI # 742,Sri Lanka,West Indies,West Indies,1
Hobart,128 runs,14/03/1992,ODI # 743,Australia,Zimbabwe,Australia,1
Wellington,7 wickets,15/03/1992,ODI # 744,New Zealand,England,New Zealand,1
Adelaide,6 wickets,15/03/1992,ODI # 745,India,South Africa,South Africa,1
Perth,4 wickets,15/03/1992,ODI # 746,Pakistan,Sri Lanka,Pakistan,1
Christchurch,7 wickets,18/03/1992,ODI # 747,New Zealand,Pakistan,Pakistan,1
Albury,9 runs,18/03/1992,ODI # 748,England,Zimbabwe,Zimbabwe,1
Melbourne,57 runs,18/03/1992,ODI # 749,Australia,West Indies,Australia,1
Auckland,4 wickets,21/03/1992,ODI # 750,New Zealand,Pakistan,Pakistan,1
Sydney,19 runs,22/03/1992,ODI # 751,England,South Africa,England,1
Melbourne,22 runs,25/03/1992,ODI # 752,England,Pakistan,Pakistan,1
Ahmedabad,11 runs,14/02/1996,ODI # 1048,England,New Zealand,New Zealand,1
Rawalpindi,169 runs,16/02/1996,ODI # 1049,South Africa,U.A.E.,South Africa,1
Hyderabad (Deccan),6 wickets,16/02/1996,ODI # 1050,West Indies,Zimbabwe,West Indies,1
Vadodara,119 runs,17/02/1996,ODI # 1051,Netherlands,New Zealand,New Zealand,1
Colombo (RPS),,17/02/1996,ODI # 1051a,Sri Lanka,Australia,Sri Lanka,1
Cuttack,7 wickets,18/02/1996,ODI # 1052,India,Kenya,India,1
Peshawar,8 wickets,18/02/1996,ODI # 1053,England,U.A.E.,England,1
Faisalabad,5 wickets,20/02/1996,ODI # 1054,New Zealand,South Africa,South Africa,1
Colombo (SSC),6 wickets,21/02/1996,ODI # 1055,Sri Lanka,Zimbabwe,Sri Lanka,1
Gwalior,5 wickets,21/02/1996,ODI # 1056,India,West Indies,India,1
Peshawar,49 runs,22/02/1996,ODI # 1057,England,Netherlands,England,1
Visakhapatnam,97 runs,23/02/1996,ODI # 1058,Australia,Kenya,Australia,1
Gujranwala,9 wickets,24/02/1996,ODI # 1059,Pakistan,U.A.E.,Pakistan,1
Colombo (RPS),,25/02/1996,ODI # 1060a,Sri Lanka,West Indies,Sri Lanka,1
Rawalpindi,78 runs,25/02/1996,ODI # 1060,England,South Africa,South Africa,1
Patna,,26/02/1996,ODI # 1061,Kenya,Zimbabwe,no result,1
Lahore,8 wickets,26/02/1996,ODI # 1062,Pakistan,Netherlands,Pakistan,1
Patna,5 wickets,27/02/1996,ODI # 1063,Kenya,Zimbabwe,Zimbabwe,1
